slug,entry,current,proposed,reason
kevinhart,Kevin Hart,Kevin Hart,Kevin Hart,The current display is already the recognizable full name.
kevinjames,Kevin James,Kevin James,Kevin James,The current display already uses the fighter’s recognizable full name.
kevinsmith,Kevin Smith,Kevin Smith,Kevin Smith,The current display is already the fighter’s recognizable full name.
khabibnurmagomed,Khabib Nurmagomedov,Khabib Nurmagomedov,Khabib,Khabib is the instantly recognizable form commonly used for the famous fighter.
khabylame,Khaby Lame,Khaby Lame,Khaby Lame,"His full name is the recognizable form, and the current display is already correct."
kidrock,Kid Rock,Kid Rock,Kid Rock,The current display is already the recognizable stage name.
kimboslice,Kimbo Slice,Kimbo Slice,Kimbo Slice,The current display is already the fighter’s well-known full name.
kimjongun,Kim Jong Un,Kim Jong Un,Kim Jong Un,The full name is the recognizable form and the current display is already correct.
kimkardashian,Kim Kardashian,Kim Kardashian,Kim Kardashian,"Both first and last names are needed for instant recognition, and the current display is already correct."
kingarthur,King Arthur,King Arthur,King Arthur,"The current display is already the recognizable iconic name, including his title."
kingcharlestheth,King Charles the Third,King Charles the Third,King Charles,The regnal numeral is a descriptive qualifier; the instantly recognizable in-game name is King Charles.
kinggeorgethethi,King George the Third,King George the Third,King George,The recognizable in-game form keeps the royal title and drops the ordinal.
kinghenrytheeigh,King Henry the Eighth,King Henry the Eighth,King Henry the Eighth,The iconic royal title and regnal name are needed to identify him; the current display is already natural and recognizable.
kinglear,King Lear,King Lear,King Lear,"The full iconic name is needed, and the current display is already correct."
kinglouisthefour,King Louis the Fourteenth,King Louis XIV,King Louis XIV,"The current display is already the natural iconic name, retaining the title and Roman numeral."
kingrichardtheth,King Richard the Third,King Richard the Third,Richard III,The regnal title is naturally shortened to the widely recognized name Richard III.
kobebryant,Kobe Bryant,Kobe Bryant,Kobe Bryant,Both first and last names are needed for the instantly recognizable public figure.
krampus,Krampus,Krampus,Krampus,Krampus is already the recognizable name for this folkloric figure.
kristenwiig,Kristen Wiig,Kristen Wiig,Kristen Wiig,"Her full name is the recognizable form, and the current display is already correct."
ksi,KSI,KSI,KSI,The current display is already the fighter’s recognized name.
kublaikhan,Kublai Khan,Kublai Khan,Kublai Khan,"The current display is already the natural, instantly recognizable name."
kurtangle,Kurt Angle,Kurt Angle,Kurt Angle,"His full name is the recognizable form, and the current display is already correct."
kurtcobain,Kurt Cobain,Kurt Cobain,Kurt Cobain,Both names are needed for the instantly recognizable full name.
kurtrussell,Kurt Russell,Kurt Russell,Kurt Russell,"His recognizable public name uses both first and last name, and the current display is already correct."
kylianmbapp,Kylian Mbappé,Kylian Mbappé,Kylian Mbappé,"His full name is the recognizable form, and the current display is already correct."
kyliejenner,Kylie Jenner,Kylie Jenner,Kylie Jenner,Both first and last names are needed for instant recognition; the current display is already correct.
ladygaga,Lady Gaga,Lady Gaga,Lady Gaga,The current display is already the iconic name by which she is recognized.
ladyjustice,Lady Justice,Lady Justice,Lady Justice,The current display is already the iconic name of the figure.
ladymacbeth,Lady Macbeth,Lady Macbeth,Lady Macbeth,"Already the natural, instantly recognisable name."
lancearmstrong,Lance Armstrong,Lance Armstrong,Lance Armstrong,Both the first and last name are needed to identify the famous cyclist.
lancelot,Lancelot,Lancelot,Lancelot,"The current display is already the natural, instantly recognisable name."
laozi,Laozi,Laozi,Laozi,"The current display is already the natural, instantly recognizable name."
larrybird,Larry Bird,Larry Bird,Larry Bird,Both first and last name are needed for the iconic athlete’s instantly recognizable name.
larrydavid,Larry David,Larry David,Larry David,Both names are needed to identify the famous comedian and creator.
larryking,Larry King,Larry King,Larry King,Already the correct recognizable full name.
larrythecableguy,Larry the Cable Guy,Larry the Cable Guy,Larry the Cable Guy,This is his established stage name and the form audiences instantly recognize.
lawrenceofarabia,Lawrence of Arabia,Lawrence of Arabia,Lawrence of Arabia,The full iconic title is the instantly recognizable name and is already correctly displayed.
lebronjames,LeBron James,LeBron James,LeBron James,Both first and last name are needed for the instantly recognizable full name.
leesedol,Lee Sedol,Lee Sedol,Lee Sedol,Both names are needed to identify the famous professional Go player.
leiferikson,Leif Erikson,Leif Erikson,Leif Erikson,Both first and last name are needed to identify the famous Viking explorer.
lemmy,Lemmy,Lemmy,Lemmy,Already the iconic stage name and shortest instantly recognizable form.
lemuelgulliver,Lemuel Gulliver,Lemuel Gulliver,Gulliver,Gulliver is the instantly recognizable surname and title-character name.
leonardbernstein,Leonard Bernstein,Leonard Bernstein,Bernstein,"Leonard Bernstein is world-famous by his surname, so the announcer uses the shorter recognizable form."
leonardnimoy,Leonard Nimoy,Leonard Nimoy,Leonard Nimoy,Both names are needed for the instantly recognizable public figure.
leonardodavinci,Leonardo da Vinci,Leonardo da Vinci,Leonardo da Vinci,"His full name is the recognizable form, so the current display remains unchanged."
leonardodicaprio,Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Both first and last names are needed for the iconic form.
leonidas,Leonidas,Leonidas,Leonidas,The current display is already the iconic name.
leotolstoy,Leo Tolstoy,Leo Tolstoy,Tolstoy,Surname alone is the instantly recognizable form for Leo Tolstoy.
leprechaun,Leprechaun,Leprechaun,Leprechaun,The current display is already the shortest instantly recognisable name.
leslienielsen,Leslie Nielsen,Leslie Nielsen,Leslie Nielsen,Both names are needed to identify the famous actor.
lewishamilton,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Both first and last names are needed for his instantly recognizable full-name form.
lexfridman,Lex Fridman,Lex Fridman,Lex Fridman,"His full name is the recognizable form, and the current display is already correct."
liamgallagher,Liam Gallagher,Liam Gallagher,Liam Gallagher,Both names are needed to identify the famous musician.
liberace,Liberace,Liberace,Liberace,The current display is already the instantly recognisable name.
libertyleadingth,Liberty Leading the People,Liberty Leading the People,Liberty Leading the People,This is the artwork's established title and is already the correct recognizable in-game name.
liljon,Lil Jon,Lil Jon,Lil Jon,The current display is already the artist’s recognizable name.
lilkim,Lil Kim,Lil Kim,Lil Kim,The current display is already the recognizable stage name.
lilnasx,Lil Nas X,Lil Nas X,Lil Nas X,The current display is already the artist’s recognizable full stage name.
lilwayne,Lil Wayne,Lil Wayne,Lil Wayne,"The current display is already the fighter’s iconic, instantly recognizable stage name."
linustorvalds,Linus Torvalds,Linus Torvalds,Linus Torvalds,Both names are needed to identify him naturally; the current display is already right.
lionelmessi,Lionel Messi,Lionel Messi,Lionel Messi,Both names are needed to instantly identify him.
lisasu,Lisa Su,Lisa Su,Lisa Su,Both given name and surname are needed to identify her naturally.
littleredridingh,Little Red Riding Hood,Little Red Riding Hood,Little Red Riding Hood,The current display is the character’s instantly recognizable full name and needs no shortening.
littlerichard,Little Richard,Little Richard,Little Richard,His iconic stage name is already the correct in-game display.
lizaminnelli,Liza Minnelli,Liza Minnelli,Liza Minnelli,Both first and last names are needed to identify her by her iconic full name.
lizzo,Lizzo,Lizzo,Lizzo,Already the iconic name she is universally recognized by.
llcoolj,LL Cool J,LL Cool J,LL Cool J,His established stage name is already the instantly recognizable in-game form.
loganpaul,Logan Paul,Logan Paul,Logan Paul,The current display is already the fighter’s recognizable full name.
lokithenorsegod,Loki the Norse God,Loki the Norse God,Loki,Strips the descriptive epithet “the Norse God”; Loki is the instantly recognizable name.
longjohnsilver,Long John Silver,Long John Silver,Long John Silver,The current display is already the character’s iconic full name.
louferrigno,Lou Ferrigno,Lou Ferrigno,Lou Ferrigno,"His full name is the recognizable form, and the current display is already correct."
louisarmstrong,Louis Armstrong,Louis Armstrong,Louis Armstrong,Both first and last names are needed for the instantly recognizable full name.
loureed,Lou Reed,Lou Reed,Lou Reed,His full name is the instantly recognizable form.
lubu,Lu Bu,Lu Bu,Lu Bu,The current display is already the fighter's well-known name.
lucianopavarotti,Luciano Pavarotti,Luciano Pavarotti,Pavarotti,His surname is the instantly recognizable form.
lucilleball,Lucille Ball,Lucille Ball,Lucille Ball,Her full name is the iconic and instantly recognizable form.
lucyliu,Lucy Liu,Lucy Liu,Lucy Liu,The current display is already the recognizable full name.
ludwigvanbeethov,Ludwig van Beethoven,Ludwig van Beethoven,Beethoven,He is world-famous by his surname alone.
luissurez,Luis Suárez,Luis Suárez,Luis Suárez,The current display is already the natural full name by which the footballer is recognized.
lyndacarter,Lynda Carter,Lynda Carter,Lynda Carter,Both names are needed to identify the iconic actress.
macbeth,Macbeth,Macbeth,Macbeth,The current display is already the character’s iconic name.
machomanrandysav,Macho Man Randy Savage,Macho Man Randy Savage,Macho Man Randy Savage,Already the correct iconic full ring name; it is not naturally shortened further.
madonna,Madonna,Madonna,Madonna,Madonna is already the instantly recognizable name and requires no change.
madsmikkelsen,Mads Mikkelsen,Mads Mikkelsen,Mads Mikkelsen,His recognizable public name is his full name; neither “Mads” nor “Mikkelsen” alone is the standard iconic form.
maewest,Mae West,Mae West,Mae West,"Her full name is the iconic, instantly recognizable form."
magicjohnson,Magic Johnson,Magic Johnson,Magic Johnson,"His full name is the instantly recognizable form, and the current display is already correct."
mahatmagandhi,Mahatma Gandhi,Gandhi,Gandhi,Surname alone is the universally recognized form.
malcolmx,Malcolm X,Malcolm X,Malcolm X,"The current display is already the fighter’s iconic, recognizable name."
mannypacquiao,Manny Pacquiao,Manny Pacquiao,Manny Pacquiao,Both names are needed to identify the world-famous boxer.
mansamusa,Mansa Musa,Mansa Musa,Mansa Musa,Both names are needed to identify the famous historical ruler.
manutebol,Manute Bol,Manute Bol,Manute Bol,Both names are needed to identify the famous basketball player.
maozedong,Mao Zedong,Mao Zedong,Mao Zedong,Both given name and surname are needed for the instantly recognizable full name.
marcandreessen,Marc Andreessen,Marc Andreessen,Marc Andreessen,Both first and last names are needed for the recognizable full name.
marcbolan,Marc Bolan,Marc Bolan,Marc Bolan,The current display is already the correct recognizable name.
marcopolo,Marco Polo,Marco Polo,Marco Polo,"The full name is the recognisable form for this historical figure, and the current display is already correct."
margaretthatcher,Margaret Thatcher,Margaret Thatcher,Margaret Thatcher,Both first and last names are needed for the instantly recognizable full name.
marieantoinette,Marie Antoinette,Marie Antoinette,Marie Antoinette,"Her full name is the recognisable form, and the current display is already correct."
mariecurie,Marie Curie,Marie Curie,Marie Curie,Both names are needed to instantly identify her.
mariekondo,Marie Kondo,Marie Kondo,Marie Kondo,Both first and last names are needed to identify her naturally.
marilynmonroe,Marilyn Monroe,Marilyn Monroe,Marilyn Monroe,The current display is already the iconic full name.
marinaabramovi,Marina Abramović,Marina Abramović,Marina Abramović,"Her full name is the recognisable form, and the current display is already correct."
mariobalotelli,Mario Balotelli,Mario Balotelli,Mario Balotelli,His full name is the recognizable form; neither “Mario” nor “Balotelli” alone is sufficient.
markhamill,Mark Hamill,Mark Hamill,Mark Hamill,Both first and last names are needed for the instantly recognizable full name.
markkupa,Mark Kupa,Mark Kupa,Mark Kupa,The current display is already the correct full name.
marktwain,Mark Twain,Mark Twain,Mark Twain,Both names form the universally recognized name; the current display is already right.
markzuckerberg,Mark Zuckerberg,Mark Zuckerberg,Mark Zuckerberg,Both first and last name are needed for recognition; the current display is already correct.
marlonbrando,Marlon Brando,Marlon Brando,Marlon Brando,"The full name is the iconic, instantly recognizable form."
marshawnlynch,Marshawn Lynch,Marshawn Lynch,Marshawn Lynch,"His full name is the recognizable form, and the current display is already correct."
marshmello,Marshmello,Marshmello,Marshmello,The current display already uses Marshmello’s instantly recognizable stage name.
marthastewart,Martha Stewart,Martha Stewart,Martha Stewart,"Her full name is the recognisable form, and the current display is already correct."
martinluther,Martin Luther,Martin Luther,Martin Luther,Both names are needed to identify the famous theologian.
martinlutherking,Martin Luther King Jr.,Martin Luther King Jr.,Martin Luther King Jr.,"His full name, including the familiar suffix, is the recognizable form used for him."
martinscorsese,Martin Scorsese,Martin Scorsese,Martin Scorsese,Both first and last names are needed to identify him naturally.
martinshkreli,Martin Shkreli,Martin Shkreli,Martin Shkreli,"His full name is the recognizable form, and the current display is already correct."
marvinminsky,Marvin Minsky,Marvin Minsky,Minsky,His surname alone is the shortest recognizable form for this world-famous figure.
maryqueenofscots,"Mary, Queen of Scots","Mary, Queen of Scots","Mary, Queen of Scots",The current display is already the iconic full title and should remain unchanged.
masahirosakurai,Masahiro Sakurai,Masahiro Sakurai,Masahiro Sakurai,Both given name and surname are needed to clearly identify him.
masterp,Master P,Master P,Master P,The current display is already the fighter’s recognized stage name.
matahari,Mata Hari,Mata Hari,Mata Hari,"Already the natural, instantly recognisable name."
mattgroening,Matt Groening,Matt Groening,Matt Groening,Both first and last names are needed to identify the famous creator. لم
mchammer,MC Hammer,MC Hammer,MC Hammer,"The current display is already the fighter’s iconic, instantly recognizable stage name."
medusa,Medusa,Medusa,Medusa,"The current display is already the iconic, instantly recognizable name."
melaniatrump,Melania Trump,Melania Trump,Melania Trump,The current display is already the correct recognizable full name.
melbrooks,Mel Brooks,Mel Brooks,Mel Brooks,The current display is already the natural full name by which he is widely recognized.
melgibson,Mel Gibson,Mel Gibson,Mel Gibson,"His full name is the recognizable form, and the current display is already correct."
mephistopheles,Mephistopheles,Mephistopheles,Mephistopheles,The current display is already the character’s recognized name.
merlin,Merlin,Merlin,Merlin,The current display is already the iconic name.
methodman,Method Man,Method Man,Method Man,The current display is already the artist’s recognizable stage name.
michaelbuffer,Michael Buffer,Michael Buffer,Michael Buffer,"His full name is the recognizable form, and the current display is already correct."
michaelcera,Michael Cera,Michael Cera,Michael Cera,Both names are needed for the recognizable full name.
michaeljackson,Michael Jackson,Michael Jackson,Michael Jackson,The full name is the iconic form and the current display is already correct.
michaeljordan,Michael Jordan,Michael Jordan,Michael Jordan,The current display is already the natural full name needed for instant recognition.
michaelkeaton,Michael Keaton,Michael Keaton,Michael Keaton,The current display is already the correct full famous name.
michaelmoore,Michael Moore,Michael Moore,Michael Moore,Both first and last names are needed to identify him.
michaelphelps,Michael Phelps,Michael Phelps,Michael Phelps,His full name is the instantly recognizable form.
michaelschumache,Michael Schumacher,Michael Schumacher,Michael Schumacher,Both first and last names are needed to identify the world-famous Formula One driver.
michelangelo,Michelangelo,Michelangelo,Michelangelo,The current display is already the iconic name.
michelangelosdav,Michelangelo's David,Michelangelo's David,Michelangelo's David,"The iconic figure is known as David; the descriptive qualifier ""Michelangelo's"" is stripped."
michelleobama,Michelle Obama,Michelle Obama,Michelle Obama,Both first and last names are needed to identify her; the current display is already correct.
michelleyeoh,Michelle Yeoh,Michelle Yeoh,Michelle Yeoh,Her full name is the recognisable form and the current display is already correct.
mickfoley,Mick Foley,Mick Foley,Mick Foley,"His full name is the recognizable form, and the current display is already correct."
mickjagger,Mick Jagger,Mick Jagger,Mick Jagger,The current display is already the instantly recognisable full name.
mikeditka,Mike Ditka,Mike Ditka,Mike Ditka,The current display is already the recognizable full name.
mikemyers,Mike Myers,Mike Myers,Mike Myers,The current display is already the fighter’s recognizable full name.
miketyson,Mike Tyson,Mike Tyson,Mike Tyson,His full name is the iconic form used to identify the famous boxer.
mikhailgorbachev,Mikhail Gorbachev,Mikhail Gorbachev,Gorbachev,He is internationally recognizable by his surname alone.
milesdavis,Miles Davis,Miles Davis,Miles Davis,Both names are needed for the instantly recognizable full name; the current display is already correct.
mileycyrus,Miley Cyrus,Miley Cyrus,Miley Cyrus,"Her full name is the recognizable form, and the current display is already correct."
milliebobbybrown,Millie Bobby Brown,Millie Bobby Brown,Millie Bobby Brown,"Her full name is the recognizable form, and the current display is already correct."
miramurati,Mira Murati,Mira Murati,Mira Murati,"Her full name is the recognisable form, and the current display is already correct."
missmarple,Miss Marple,Miss Marple,Miss Marple,"The current display is already the character’s iconic, recognizable name."
missyelliott,Missy Elliott,Missy Elliott,Missy Elliott,"Her full name is the recognizable form, and the current display is already correct."
misterrogers,Mister Rogers,Mister Rogers,Mister Rogers,The current display is already the iconic title and name.
miyamotomusashi,Miyamoto Musashi,Miyamoto Musashi,Miyamoto Musashi,Both names are needed to identify the famous swordsman.
moehoward,Moe Howard,Moe Howard,Moe Howard,Both the first and last name are needed to identify the Three Stooges performer.
momotaro,Momotaro,Momotaro,Momotaro,The current display is already the iconic name of the Japanese folk hero.
monalisa,Mona Lisa,Mona Lisa,Mona Lisa,The current display is already the iconic name by which she is instantly recognized.
montezuma,Montezuma,Montezuma,Montezuma,The current display is already the recognizable name.
morganfreeman,Morgan Freeman,Morgan Freeman,Morgan Freeman,Both first and last names are needed for recognition.
morganwallen,Morgan Wallen,Morgan Wallen,Morgan Wallen,"His full name is the recognizable form, and the current display is already correct."
moritzbaierlentz,Moritz Baier-Lentz,Moritz Baier-Lentz,Moritz Baier-Lentz,"The roster provides no indication of a more widely recognized single-name form, so the full name remains appropriate."
morrissey,Morrissey,Morrissey,Morrissey,Morrissey is his well-known stage name and the current display is already correct.
moses,Moses,Moses,Moses,"The current display is already the shortest, instantly recognizable name."
mothergoose,Mother Goose,Mother Goose,Mother Goose,"The current display is already the character’s iconic, instantly recognizable name."
motherteresa,Mother Teresa,Mother Teresa,Mother Teresa,Already the iconic full name and should remain unchanged.
mothman,Mothman,Mothman,Mothman,The current display is already the recognizable name.
mrbeast,MrBeast,MrBeast,MrBeast,The current display is already the fighter’s recognizable public name.
mrhyde,Mr. Hyde,Mr. Hyde,Mr. Hyde,"The current display is already the iconic, recognizable name."
mrt,Mr. T,Mr. T,Mr. T,The current display is already the iconic name by which he is universally recognized.
muammargaddafi,Muammar Gaddafi,Muammar Gaddafi,Gaddafi,Surname alone is the instantly recognizable form.
muggsybogues,Muggsy Bogues,Muggsy Bogues,Muggsy Bogues,His full name is the recognizable form used for this basketball player.
muhammadali,Muhammad Ali,Muhammad Ali,Muhammad Ali,"The full name is the iconic, instantly recognizable form."
myspacetom,MySpace Tom,MySpace Tom,MySpace Tom,This is the recognizable full name of the iconic MySpace profile figure.
naomicampbell,Naomi Campbell,Naomi Campbell,Naomi Campbell,"Her full name is the natural, instantly recognizable form; neither “Naomi” nor “Campbell” alone is sufficient."
napoleon,Napoleon,Napoleon,Napoleon,"The current display is already the natural, instantly recognizable name."
narendramodi,Narendra Modi,Narendra Modi,Narendra Modi,Both names are needed to identify him naturally and recognizably; the current display is already correct.
natediaz,Nate Diaz,Nate Diaz,Nate Diaz,The current display is already the fighter’s recognizable full name.
nedkelly,Ned Kelly,Ned Kelly,Ned Kelly,His full name is the instantly recognizable form.
nefertiti,Nefertiti,Nefertiti,Nefertiti,"Her name is already the iconic, instantly recognizable form."
neilarmstrong,Neil Armstrong,Neil Armstrong,Neil Armstrong,Both first and last names are needed for his instantly recognizable full-name form.
neildegrassetyso,Neil deGrasse Tyson,Neil deGrasse Tyson,Neil deGrasse Tyson,His full name is the recognizable form; neither “Neil” nor “Tyson” alone uniquely identifies him.
neilyoung,Neil Young,Neil Young,Neil Young,Both first and last names are needed to identify the famous singer-songwriter.
nero,Nero,Nero,Nero,The current display is already the iconic name.
neymar,Neymar,Neymar,Neymar,Neymar is already the instantly recognizable name and needs no change.
nezha,Nezha,Nezha,Nezha,"Nezha is the deity’s recognized name, and the current display is already correct."
nickiminaj,Nicki Minaj,Nicki Minaj,Nicki Minaj,"Her full stage name is the instantly recognizable form, and the current display is already correct."
nicolascage,Nicolas Cage,Nicolas Cage,Nicolas Cage,Both first and last name are needed to identify him; the current display is already correct.
nikilauda,Niki Lauda,Niki Lauda,Niki Lauda,His full name is the recognizable form; neither “Niki” nor “Lauda” alone is sufficient.
nikolajoki,Nikola Jokić,Nikola Jokić,Nikola Jokić,Both first and last names are needed to naturally identify the famous basketball player.
nikolatesla,Nikola Tesla,Nikola Tesla,Tesla,Surname alone is the instantly recognizable form for Nikola Tesla.
ninasimone,Nina Simone,Nina Simone,Nina Simone,Both names are needed for her instantly recognizable full name.
noelgallagher,Noel Gallagher,Noel Gallagher,Noel Gallagher,Both name halves are needed to identify the famous musician.
nostradamus,Nostradamus,Nostradamus,Nostradamus,The current display is already the recognizable name.
novakdjokovic,Novak Djokovic,Novak Djokovic,Djokovic,His surname alone is the instantly recognizable form for the world-famous tennis player.
odanobunaga,Oda Nobunaga,Oda Nobunaga,Oda Nobunaga,His full name is the recognizable form for this historical figure.
odin,Odin,Odin,Odin,"The current display is already the iconic, instantly recognizable name."
odysseus,Odysseus,Odysseus,Odysseus,The current display is already the fighter's iconic name.
ojsimpson,O.J. Simpson,O.J. Simpson,O.J. Simpson,"His full public name is the recognizable form, and the current display is already correct."
oldirtybastard,Ol' Dirty Bastard,Ol' Dirty Bastard,Ol' Dirty Bastard,This is his iconic stage name and the current display is already correct.
oliveoyl,Olive Oyl,Olive Oyl,Olive Oyl,Her established full character name is the instantly recognizable form.
oliverhardy,Oliver Hardy,Oliver Hardy,Oliver Hardy,Both names are needed to identify the famous comedy performer.
olivertwist,Oliver Twist,Oliver Twist,Oliver Twist,Both names are needed to identify the famous literary character.
onidemon,Oni Demon,Oni Demon,Oni Demon,Already the natural in-game name for this supernatural fighter; no descriptive qualifier needs stripping.
oprahwinfrey,Oprah Winfrey,Oprah Winfrey,Oprah Winfrey,Both name parts are needed for her instantly recognizable full name.
osamutezuka,Osamu Tezuka,Osamu Tezuka,Tezuka,Osamu Tezuka is most widely recognized by his surname in this context.
oscarwilde,Oscar Wilde,Oscar Wilde,Oscar Wilde,Both first and last names are needed for the iconic full-name form.
oswaldtheluckyra,Oswald the Lucky Rabbit,Oswald the Lucky Rabbit,Oswald,Oswald is the instantly recognizable shortened form of the character’s name; the descriptive epithet is omitted.
othello,Othello,Othello,Othello,The current display is already the character’s iconic and recognizable name.
ottovonbismarck,Otto von Bismarck,Otto von Bismarck,Bismarck,"He is world-famous by his surname, so the announcer uses the shortest instantly recognizable form."
ozzyosbourne,Ozzy Osbourne,Ozzy Osbourne,Ozzy Osbourne,Both first name and surname are needed for the instantly recognizable full name.
pabloescobar,Pablo Escobar,Pablo Escobar,Pablo Escobar,"The current display is already the natural, instantly recognizable full name."
pablopicasso,Pablo Picasso,Pablo Picasso,Picasso,Picasso is the instantly recognizable surname form.
palmerluckey,Palmer Luckey,Palmer Luckey,Palmer Luckey,Both names are needed to identify him; the current display is already the natural full name.
pamelaanderson,Pamela Anderson,Pamela Anderson,Pamela Anderson,"Her full name is the recognizable form, and the current display is already correct."
panchovilla,Pancho Villa,Pancho Villa,Pancho Villa,The current display is already the fighter's recognizable full name.
parishilton,Paris Hilton,Paris Hilton,Paris Hilton,Both first and last names are needed for the recognizable full name.
patrickmahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,His full name is the instantly recognizable form and the current display is already correct.
patrickstewart,Patrick Stewart,Patrick Stewart,Patrick Stewart,Both first and last names are needed to recognize the actor.
paulbunyan,Paul Bunyan,Paul Bunyan,Paul Bunyan,"The full name is the iconic, instantly recognizable form."
paulgascoigne,Paul Gascoigne,Paul Gascoigne,Gascoigne,"He is widely recognized by his surname alone, so the announcer uses the shortest familiar form."
paulmccartney,Paul McCartney,Paul McCartney,Paul McCartney,Both names are needed for the instantly recognizable form.
pecosbill,Pecos Bill,Pecos Bill,Pecos Bill,The current display is already the fighter’s iconic full name.
pedropascal,Pedro Pascal,Pedro Pascal,Pedro Pascal,Both first and last names are needed for instant recognition.
peeweeherman,Pee-wee Herman,Pee-wee Herman,Pee-wee Herman,The current display is already the character’s recognizable name.
pel,Pelé,Pelé,Pelé,"The current display is already the iconic, instantly recognizable name."
pennjillette,Penn Jillette,Penn Jillette,Penn Jillette,Both names are needed to identify him; the current display is already correct.
petedavidson,Pete Davidson,Pete Davidson,Pete Davidson,The full name is the recognizable form and the current display is already correct.
peterdinklage,Peter Dinklage,Peter Dinklage,Peter Dinklage,Both names are needed to clearly identify the actor.
peterpan,Peter Pan,Peter Pan,Peter Pan,The current display is already the character’s recognizable name.
petersellers,Peter Sellers,Peter Sellers,Peter Sellers,"The current display is already the natural, recognizable full name."
peterthegreat,Peter the Great,Peter the Great,Peter the Great,The iconic title is part of the fighter’s recognized name and should be kept.
pewdiepie,PewDiePie,PewDiePie,PewDiePie,The current display is already the fighter’s universally recognized name.
peytonmanning,Peyton Manning,Peyton Manning,Peyton Manning,Both first and last names are needed to identify the famous person.
phileasfogg,Phileas Fogg,Phileas Fogg,Phileas Fogg,Both names are needed to identify the famous fictional character.
pikotaro,Pikotaro,Pikotaro,Pikotaro,The current display is already the fighter’s recognizable stage name.
pinocchio,Pinocchio,Pinocchio,Pinocchio,"The current display is already the familiar, instantly recognizable name."
pitbull,Pitbull,Pitbull,Pitbull,Pitbull is the artist’s established stage name and is already the correct announcer display.
plato,Plato,Plato,Plato,"Plato is already the natural, instantly recognisable name."
pocahontas,Pocahontas,Pocahontas,Pocahontas,The current display is already the instantly recognizable name.
polyphemusthecyc,Polyphemus the Cyclops,Polyphemus the Cyclops,Polyphemus,Strips the descriptive epithet “the Cyclops”; Polyphemus is the recognizable name.
popefrancis,Pope Francis,Pope Francis,Pope Francis,The current display already uses the iconic title and full name.
popejohnpaulthes,Pope John Paul the Second,Pope John Paul the Second,Pope John Paul II,Uses the iconic papal title and the standard numeral form of his name.
popeye,Popeye,Popeye,Popeye,Already the instantly recognizable in-game name.
postmalone,Post Malone,Post Malone,Post Malone,The current display is already the fighter’s recognizable full stage name.
prince,Prince,Prince,Prince,Prince is already the recognizable stage name and requires no change.
princessdiana,Princess Diana,Princess Diana,Princess Diana,Her iconic public name includes the title and is already correctly displayed.
professormoriart,Professor Moriarty,Professor Moriarty,Moriarty,"His surname is the iconic, instantly recognizable form."
prospero,Prospero,Prospero,Prospero,"Prospero is the character’s established, instantly recognizable name and the current display is already correct."
psy,Psy,Psy,Psy,"Psy is his widely recognized stage name, so the current display is already correct."
puckfromamidsumm,Puck from A Midsummer Night's Dream,Puck,Puck,Puck is the character’s iconic and instantly recognizable name.
qinshihuang,Qin Shi Huang,Qin Shi Huang,Qin Shi Huang,His full historical name is the recognizable form; no shortening is needed.
quasimodo,Quasimodo,Quasimodo,Quasimodo,The current display is already the recognizable name.
queen,Queen Elizabeth II,Queen Elizabeth II,Queen Elizabeth II,The current display is already the natural iconic title and name.
queenelizabethth,Queen Elizabeth the First,Queen Elizabeth I,Queen Elizabeth,The iconic title and name are retained while the ordinal qualifier is stripped.
queenvictoria,Queen Victoria,Queen Victoria,Queen Victoria,The current display is already the correct iconic title and name.
quentintarantino,Quentin Tarantino,Quentin Tarantino,Quentin Tarantino,"His full name is the recognizable form, and the current display is already correct."
rafaelnadal,Rafael Nadal,Rafael Nadal,Nadal,Surname alone is the instantly recognizable form for Rafael Nadal.
ragnarlothbrok,Ragnar Lothbrok,Ragnar Lothbrok,Ragnar Lothbrok,"Both names are needed to identify the legendary figure, and the current display is already correct."
rajinikanth,Rajinikanth,Rajinikanth,Rajinikanth,The current display is already the iconic name by which he is widely recognized.
randyorton,Randy Orton,Randy Orton,Randy Orton,The current display is already the fighter’s recognizable full name.
rasputin,Rasputin,Rasputin,Rasputin,Already the recognizable name; no change needed.
raycharles,Ray Charles,Ray Charles,Ray Charles,The current display is already the iconic full name.
raykurzweil,Ray Kurzweil,Ray Kurzweil,Ray Kurzweil,Both the first and last name are needed to clearly identify him.
refrigeratorperr,Refrigerator Perry,Refrigerator Perry,Refrigerator Perry,Already the recognizable name used for the fighter; no shortening or title adjustment is needed.
reggiefilsaim,Reggie Fils-Aimé,Reggie Fils-Aimé,Reggie Fils-Aimé,"His full name is the recognizable form, and the current display is already correct."
rembrandt,Rembrandt,Rembrandt,Rembrandt,Rembrandt is already the iconic surname-based name and needs no change.
reymysterio,Rey Mysterio,Rey Mysterio,Rey Mysterio,The current display is already the fighter’s recognizable ring name.
ricflair,Ric Flair,Ric Flair,Ric Flair,"The current display is already the fighter's iconic, instantly recognizable name."
richardnixon,Richard Nixon,Richard Nixon,Richard Nixon,Both first and last names are needed for recognition.
richardpryor,Richard Pryor,Richard Pryor,Richard Pryor,"His full name is the recognisable form, and the current display is already correct."
